,score,f_mother_age,f_mother_education_level,f_number_of_tech_at_home,f_extent_of_books_at_home,f_ESCS,f_frequency_of_books_at_home,f_extent_of_interest_in_interview,f_frequency_of_support_at_home
0,0.650383435298537,0.2692307692307692,0.375,0.25,0.25,0.37036374000571587,0.6666666666666666,0.2222222222222222,0.75
2,0.4143832104025514,0.4423076923076923,0.375,0.15,0.0,0.2899287038649648,0.5555555555555555,0.6666666666666666,0.8333333333333334
3,0.5531702919817167,0.4230769230769231,0.75,0.25,0.75,0.6433604946680787,0.7777777777777777,0.5555555555555555,0.9166666666666666
4,0.30047462938500835,0.4230769230769231,0.5,0.2,0.5,0.5634974538079014,0.5555555555555555,0.8888888888888888,0.9166666666666666
6,0.46720812640637227,0.3269230769230769,0.5,0.3,0.25,0.4622996642688826,0.7777777777777777,1.0,1.0
7,0.6265291691329024,0.15384615384615385,0.25,0.2,0.5,0.5583067740716834,0.5555555555555555,0.3333333333333333,0.5833333333333334
9,0.26780972316787005,0.4423076923076923,0.125,0.05,0.0,0.28069319543706117,0.3333333333333333,0.7777777777777777,0.75
10,0.5270544001146723,0.4423076923076923,0.25,0.1,0.0,0.2239462127362836,0.8888888888888888,0.4444444444444443,0.8333333333333334
11,0.34162287167459776,0.34615384615384615,0.375,0.3,0.25,0.35998236330658206,0.111111111111111,1.0,0.9166666666666666
12,0.2812267149245672,0.46153846153846156,0.375,0.2,0.25,0.4689868789409302,1.0,0.4444444444444443,0.9166666666666666
13,0.6235357047090995,0.3269230769230769,0.375,0.3,0.0,0.22764047812355784,0.2222222222222222,0.4444444444444443,1.0
14,0.35612850828469855,0.28846153846153844,0.625,0.2,0.0,0.2562187087797417,0.2222222222222222,1.0,0.8333333333333334
15,0.4158073456960222,0.5,0.125,0.25,0.0,0.3003100805640986,0.2222222222222222,1.0,1.0
16,0.2505350547349873,0.46153846153846156,0.25,0.25,0.25,0.22133016637717204,0.7777777777777777,1.0,1.0
18,0.5328009868238137,0.3076923076923077,0.375,0.1,0.25,0.37036374000571587,1.0,0.3333333333333333,1.0
19,0.3392407659808987,0.5192307692307693,0.625,0.35,0.25,0.33238224733645105,0.6666666666666666,0.5555555555555555,1.0
20,0.28514277805855454,0.2692307692307692,0.125,0.4,0.25,0.35998236330658206,0.0,1.0,0.4166666666666667
21,0.5283549661852822,0.5,0.375,0.15,0.0,0.4716029253000418,0.6666666666666666,1.0,1.0
25,0.4730816804920033,0.5,0.625,0.15,0.25,0.49344382881968013,0.5555555555555555,0.6666666666666666,0.9166666666666666
26,0.6028194789580149,0.4230769230769231,0.375,0.2,0.5,0.43003598829480333,0.8888888888888888,0.3333333333333333,0.75
27,0.5778098405586318,0.36538461538461536,0.625,0.2,0.5,0.48713360320678434,0.6666666666666666,1.0,0.9166666666666666
28,0.2691603347737386,0.36538461538461536,0.375,0.3,0.25,0.37036374000571587,0.0,1.0,0.75
30,0.35765458818702944,0.36538461538461536,0.375,0.4,0.25,0.41188926402894915,0.7777777777777777,1.0,1.0
32,0.6016188494963935,0.5192307692307693,0.5,0.2,1.0,0.7036046693309478,0.8888888888888888,0.8888888888888888,0.5833333333333334
35,0.5266819933692755,0.40384615384615385,0.375,0.3,0.25,0.37036374000571587,0.6666666666666666,1.0,0.8333333333333334
37,0.3773794798477133,0.4807692307692308,0.375,0.2,0.5,0.6117102097298802,0.6666666666666666,1.0,0.75
38,0.64449752429062,0.4423076923076923,0.375,0.1,0.25,0.35998236330658206,0.3333333333333333,0.6666666666666666,0.9166666666666666
39,0.6439300326346317,0.3269230769230769,0.75,0.25,0.25,0.5380414415783239,0.7777777777777777,0.0,1.0
40,0.38124843221548493,0.25,0.375,0.25,0.25,0.4689868789409302,0.4444444444444443,1.0,1.0
41,0.3760986848527611,0.3076923076923077,0.375,0.2,0.25,0.37036374000571587,1.0,1.0,1.0
43,0.6079891518579249,0.3269230769230769,0.5,0.25,0.0,0.3662925716927798,0.6666666666666666,1.0,1.0
44,0.7025501907290955,0.5,0.75,0.35,0.25,0.47936827286676204,0.6666666666666666,0.5555555555555555,0.9166666666666666
46,0.4622838928753694,0.3269230769230769,0.75,0.35,0.75,0.7138722981431516,0.8888888888888888,1.0,0.9166666666666666
47,0.18114321302221903,0.15384615384615385,0.25,0.4,0.0,0.26547168507942287,0.2222222222222222,1.0,1.0
48,0.1908355194788345,0.4230769230769231,0.375,0.45,0.5,0.40927321766983765,1.0,1.0,0.9166666666666666
49,0.5932318974177739,0.38461538461538464,0.75,0.35,0.5,0.5436931766599604,0.4444444444444443,0.3333333333333333,0.6666666666666666
50,0.4715778430497873,0.40384615384615385,0.625,0.2,0.25,0.555732123467879,1.0,0.6666666666666666,1.0
51,0.31279092828907296,0.4230769230769231,0.625,0.3,1.0,0.6754536607852998,0.7777777777777777,1.0,0.9166666666666666
52,0.523055236678311,0.4230769230769231,0.25,0.1,0.25,0.29399987217790086,0.3333333333333333,1.0,1.0
54,0.36535650338641457,0.34615384615384615,0.375,0.25,0.25,0.2976940514316851,0.6666666666666666,0.7777777777777777,1.0
55,0.6048989945172335,0.5384615384615384,0.25,0.15,0.5,0.3640535143928201,0.6666666666666666,0.2222222222222222,0.9166666666666666
56,0.35382625920127325,0.40384615384615385,0.75,0.1,0.25,0.465292699687146,0.5555555555555555,0.8888888888888888,0.9166666666666666
57,0.6436547821907094,0.3076923076923077,0.625,0.45,1.0,0.7036046693309478,0.2222222222222222,0.6666666666666666,0.75
58,0.5851022782457619,0.5,0.625,0.35,0.25,0.28361846102537097,0.4444444444444443,0.6666666666666666,1.0
59,0.5080883779438823,0.21153846153846154,0.75,0.3,0.0,0.3143856365170167,0.3333333333333333,0.6666666666666666,1.0
60,0.4723028854649231,0.5,0.25,0.1,1.0,0.5701432727246417,0.3333333333333333,1.0,1.0
61,0.6617272444186871,0.4230769230769231,0.75,0.4,0.75,0.6958393906710195,0.8888888888888888,0.111111111111111,0.9166666666666666
62,0.7030841642333827,0.4230769230769231,0.875,0.15,0.75,0.7138722981431516,0.7777777777777777,0.5555555555555555,0.9166666666666666
63,0.24330934442820193,0.5192307692307693,0.75,0.3,0.75,0.6194755400699025,0.8888888888888888,1.0,0.9166666666666666
65,0.497855765060308,0.5961538461538461,0.625,0.25,1.0,0.6607642831290506,0.8888888888888888,1.0,0.75
66,0.4680856223502125,0.4230769230769231,0.125,0.4,0.0,0.28069319543706117,0.5555555555555555,0.8888888888888888,1.0
67,0.405538279891704,0.5384615384615384,0.25,0.2,0.0,0.2239462127362836,1.0,0.6666666666666666,1.0
68,0.7455975375125268,0.5961538461538461,0.625,0.25,1.0,0.719524033224788,1.0,0.5555555555555555,1.0
69,0.6249935126157998,0.4807692307692308,1.0,0.55,1.0,1.0,0.8888888888888888,1.0,0.9166666666666666
70,0.2747198685717746,0.23076923076923078,0.375,0.4,0.5,0.6117102097298802,0.8888888888888888,0.5555555555555555,1.0
72,0.46949631949069714,0.3269230769230769,0.625,0.25,0.5,0.40927321766983765,1.0,0.7777777777777777,0.8333333333333334
73,0.3313462372553793,0.4807692307692308,0.25,0.15,0.25,0.23171149139621186,0.8888888888888888,1.0,1.0
74,0.2764787219976695,0.4230769230769231,0.125,0.15,0.25,0.11716583608142235,0.7777777777777777,1.0,0.9166666666666666
75,0.5869660110495598,0.46153846153846156,0.0,0.15,0.0,0.34183562181402993,0.111111111111111,1.0,0.75
76,0.7537575856056684,0.40384615384615385,0.25,0.15,0.25,0.465292699687146,0.3333333333333333,1.0,1.0
77,0.5248110008736344,0.4423076923076923,0.25,0.1,0.25,0.3844392959586339,1.0,1.0,1.0
78,0.3800348279854634,0.4423076923076923,0.625,0.1,0.25,0.22617035171577055,0.5555555555555555,0.3333333333333333,0.9166666666666666
79,0.3635613515013043,0.5,0.375,0.4,0.75,0.6817638002647055,0.7777777777777777,1.0,0.5
81,0.6011519122955085,0.25,0.5,0.5,0.25,0.4155834432827334,0.8888888888888888,0.3333333333333333,1.0
83,0.4292391657594627,0.34615384615384615,0.5,0.25,0.25,0.43634621390769907,0.7777777777777777,1.0,1.0
84,0.5929243645143791,0.5576923076923077,0.5,0.05,0.75,0.5868348578099734,0.6666666666666666,0.111111111111111,1.0
